STT,Lộ trình,Danh mục,Bài học,Link bài học,Thời gian học( giờ)
1,Marketing,1. NỀN TẢNG MARKETING,BÀI 1. MARKETING LÀ GÌ?,https://drive.google.com/file/d/1lU-rQEG1Dhl3IN9Ha9XGwYI30MJuSrmt/view?usp=drive_link,2
,,,BÀI 2. CÁC LOẠI HÌNH MARKETING,https://drive.google.com/file/d/1MnmAbm7pJr6SWGG-zcC6KHWKk7Yp4mha/view?usp=drive_link,2
,,,BÀI 3. MỤC TIÊU VÀ GIÁ TRỊ CỦA MARKETING,https://drive.google.com/file/d/12KVEDxVupMUYGBpAexC23rQH79QCwUsw/view?usp=drive_link,2
,,,BÀI 4. QUY TRÌNH MARKETING CƠ BẢN,https://drive.google.com/file/d/1c2WPV5C0GY4laYNUCAMHKR4ewLzplp7b/view?usp=drive_link,2
,,2. NGHIÊN CỨU THỊ TRƯỜNG & KHÁCH HÀNG,BÀI 5. MARKETING MIX – MÔ HÌNH 4P,https://drive.google.com/file/d/19iOAguKB1OHDTr1DHmR83-vQ5xZ6ix_6/view?usp=drive_link,2
,,,BÀI 6. MÔ HÌNH 7P TRONG MARKETING DỊCH VỤ,https://drive.google.com/file/d/1Ik99wxCvo_gWH5kIWaQG_GXlh4uGE8_m/view?usp=drive_link,2
,,,BÀI 7. LỰA CHỌN CHIẾN LƯỢC MARKETING PHÙ HỢP,https://drive.google.com/file/d/1OFFNQzEWDmqcbzqUyV83Sa6Npxts8-yD/view?usp=drive_link,2
,,,BÀI 8. ỨNG DỤNG MARKETING MIX VÀO THỰC TẾ,https://drive.google.com/file/d/10RVHi4SHM94IXolOjs7eTaLN9HQHMmm1/view?usp=drive_link,2
,,3. DIGITAL MARKETING CƠ BẢN,BÀI 9. DIGITAL MARKETING CƠ BẢN,https://drive.google.com/file/d/1nwcUba8z0-egEtgPBawLKVniez9DEL0F/view?usp=drive_link,2
,,,BÀI 10. CONTENT MARKETING CƠ BẢN,https://drive.google.com/file/d/1sIPImGffpqrlcJP1rFo8nbx8TFzuREmv/view?usp=drive_link,2
,,,BÀI 11. SOCIAL MEDIA MARKETING CƠ BẢN,https://drive.google.com/file/d/1QMMpeV9iaZsvASmxkORfXCN7l80DvblZ/view?usp=drive_link,2
,,,BÀI 12. SEO CƠ BẢN (SEARCH ENGINE OPTIMIZATION),https://drive.google.com/file/d/1NDhXlL12ZvO9l6fWiZQLLegf_kplRJZt/view?usp=drive_link,2
,,4. TRIỂN KHAI & VẬN HÀNH MARKETING,BÀI 13. EMAIL MARKETING CƠ BẢN,https://drive.google.com/file/d/1NUBvLVso24v4kS5bkhbga9Accjo6c4T0/view?usp=drive_link,2
,,,BÀI 14. MARKETING ANALYTICS CƠ BẢN,https://drive.google.com/file/d/13f8c2jze-BDmXiiX9Uq8Jl24u1Z53ty2/view?usp=drive_link,2
,,,BÀI 15. CHIẾN LƯỢC MARKETING TÍCH HỢP,https://drive.google.com/file/d/1AQGnPoY7VQKhaFS_JgmOsDO7nVsfeV9O/view?usp=drive_link,2
2,UI/UX Design,1. NỀN TẢNG UI/UX,BÀI 1. UI/UX DESIGN LÀ GÌ?,https://drive.google.com/file/d/1qjGKV9mh30E9d--sXTXNwXPlU5f8AGla/view?usp=drive_link,2
,,,BÀI 2. TƯ DUY LẤY NGƯỜI DÙNG LÀM TRUNG TÂM,https://drive.google.com/file/d/1ukemSIi0YCWQB7PLbeJt9Mqjvp8pUVoj/view?usp=drive_link,2
,,,BÀI 3. QUY TRÌNH THIẾT KẾ UI/UX,https://drive.google.com/file/d/1W_YX1Z2GTVQUlMP5LWuXUQPSqaNnBqEK/view?usp=drive_link,2
,,,BÀI 4. VAI TRÒ VÀ KỸ NĂNG CỦA UI/UX DESIGNER,https://drive.google.com/file/d/1j8yZGb73THFec5evdATikKO1H3Z-jVQI/view?usp=drive_link,2
,,2. NGHIÊN CỨU NGƯỜI DÙNG,BÀI 5. UX RESEARCH CƠ BẢN,https://drive.google.com/file/d/1R-2yZ-cGEgKyNL03tT2CtRg40pe1q2F0/view?usp=drive_link,2
,,,BÀI 6. PERSONA VÀ USER JOURNEY,https://drive.google.com/file/d/14vemaIu21Dt642qwP6nTihN4v2tJ8UkL/view?usp=drive_link,2
,,,BÀI 7. XÁC ĐỊNH VẤN ĐỀ & INSIGHT NGƯỜI DÙNG,https://drive.google.com/file/d/1PmJyeMCQov86E8VdPFZjsPwGHUr1brUe/view?usp=drive_link,2
,,3. CẤU TRÚC & LUỒNG,BÀI 8. INFORMATION ARCHITECTURE (IA),https://drive.google.com/file/d/1r18tIa4lbApi-ScB7vzlRCF3lXgx6Rbk/view?usp=drive_link,2
,,,BÀI 9. USER FLOW & SCREEN MAP,https://drive.google.com/file/d/10I78VmZfZ64O5_JspSEXNequkAgkvRAd/view?usp=drive_link,2
,,,BÀI 10. WIREFRAME,https://drive.google.com/file/d/1f6I7ggvz0dMmjDQ5tD_2x61rs81Rlh18/view?usp=drive_link,2
,,4. THIẾT KẾ GIAO DIỆN,BÀI 11. NGUYÊN LÝ THIẾT KẾ UI,https://drive.google.com/file/d/1zefoV0R89g5PMcGfRB0oP1OzlWHaT8wS/view?usp=drive_link,2
,,,BÀI 12. MÀU SẮC & TYPOGRAPHY,https://drive.google.com/file/d/1uNr9q4xfD-YEsrd96XpAK3neIPgvgco8/view?usp=drive_link,2
,,,BÀI 13. COMPONENT & DESIGN SYSTEM,https://drive.google.com/file/d/1zg-JSxzoa6unDux02CWtqRsibRdWd2Of/view?usp=drive_link,2
,,5. PROTOTYPE & KIỂM THỬ,BÀI 14. PROTOTYPE & CÔNG CỤ THIẾT KẾ,https://drive.google.com/file/d/1fRzfsXWHe5H1f--pG6obkxidISo55Xh1/view?usp=drive_link,2
,,,BÀI 15. USABILITY TESTING & HOÀN THIỆN THIẾT KẾ,https://drive.google.com/file/d/1whJUGbAXw6zuEDXGPsVpZJoUESRFmSLE/view?usp=drive_link,2
3,GRAPHIC DESIGN,1. NỀN TẢNG GRAPHIC DESIGN,BÀI 1. GRAPHIC DESIGN LÀ GÌ?,https://drive.google.com/file/d/1hdXp7-xDpqoClMoL2Q4sg7jIFtPktsn2/view?usp=drive_link,2
,,,BÀI 2. VAI TRÒ CỦA GRAPHIC DESIGN TRONG TRUYỀN THÔNG,https://drive.google.com/file/d/1R6EkOBht9Z9eL6qvNl2MElP_p4lKpN7j/view?usp=drive_link,2
,,,BÀI 3. TƯ DUY THIẾT KẾ (DESIGN THINKING) TRONG GRAPHIC DESIGN,https://drive.google.com/file/d/1gZdWASfBSNr83Yc71XdHOMdB_w1Vo_TM/view?usp=drive_link,2
,,,BÀI 4. CÁC NGUYÊN LÝ CƠ BẢN TRONG THIẾT KẾ ĐỒ HỌA,https://drive.google.com/file/d/1VbedttE-aWJnx91kOBta_alqKeDzQYIt/view?usp=drive_link,2
,,2. NGUYÊN LÝ THIẾT KẾ,BÀI 5. MÀU SẮC TRONG THIẾT KẾ ĐỒ HỌA,https://drive.google.com/file/d/1HwD17dv8t-UrZr0oOtTtFO4Xham2lGdh/view?usp=drive_link,2
,,,BÀI 6. TYPOGRAPHY TRONG THIẾT KẾ ĐỒ HỌA,https://drive.google.com/file/d/1CO_Ue_uRMqn1axFttxLhujYhBYLjoOdi/view?usp=drive_link,2
,,,BÀI 7. BỐ CỤC (LAYOUT) TRONG THIẾT KẾ ĐỒ HỌA,https://drive.google.com/file/d/11vIWNlsAyyYdekvVlpfgmBWFF1b-2TWp/view?usp=drive_link,2
,,3. NHẬN DIỆN THƯƠNG HIỆU,BÀI 8. HÌNH ẢNH & YẾU TỐ ĐỒ HỌA TRONG THIẾT KẾ,https://drive.google.com/file/d/14S1RNSgbz-SkxnLzMVUR6ijpC9QBilpK/view?usp=drive_link,2
,,,BÀI 9. NHẬN DIỆN THƯƠNG HIỆU (BRAND IDENTITY),https://drive.google.com/file/d/1ye4ngwlQB79IVKI7qBSsGteFzs-n__9a/view?usp=drive_link,2
,,,BÀI 10. THIẾT KẾ ẤN PHẨM TRUYỀN THÔNG (POSTER – BANNER – SOCIAL MEDIA),https://drive.google.com/file/d/18VQaSuCaNnk3rnq65Mwa__gcMdW2-UuV/view?usp=drive_link,2
,,4. THIẾT KẾ ỨNG DỤNG THỰC TẾ,BÀI 11. THIẾT KẾ BAO BÌ (PACKAGING DESIGN),https://drive.google.com/file/d/16w5xyzYcmgDGdp19bI40XTVhScWKUSIH/view?usp=drive_link,2
,,,BÀI 12. THIẾT KẾ GIAO DIỆN CƠ BẢN CHO WEB & APP (UI CƠ BẢN CHO GRAPHIC DESIGNER),https://drive.google.com/file/d/1i5VGxBPubTAzhFY_450rTZa_X2GRsYnM/view?usp=drive_link,2
,,,BÀI 13. QUY TRÌNH LÀM VIỆC & TƯ DUY CỦA GRAPHIC DESIGNER CHUYÊN NGHIỆP,https://drive.google.com/file/d/1Kvu45swBnNFdlPOt0HBxSkH1bJiNqXIM/view?usp=drive_link,2
,,5. CÔNG CỤ & PHÁT TRIỂN NGHỀ,BÀI 14. XÂY DỰNG PORTFOLIO GRAPHIC DESIGN,https://drive.google.com/file/d/1g4PxJb0VUspTVC50ktwwDrWkgVPur0O4/view?usp=drive_link,2
,,,BÀI 15. ĐỊNH HƯỚNG NGHỀ NGHIỆP & PHÁT TRIỂN SỰ NGHIỆP GRAPHIC DESIGN,https://drive.google.com/file/d/1ahkZdMOiT4fM-S6yzHdm07-jYRre9s2z/view?usp=drive_link,2